# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.341296e+00	6.744774e-01	6.668185e-01	-4.704464e-02	5.486213e-01	-5.956660e-01	5.721437e-01	3.829448e-03	-2.438079e-03	-2.219846e-02	-1.353731e-02	-8.661149e-03
2             	1.521106e+00	7.682090e-01	7.528969e-01	-5.875515e-02	6.212747e-01	-6.800299e-01	6.506523e-01	7.656046e-03	-3.524027e-03	-3.231634e-02	-1.968220e-02	-1.263414e-02
3             	1.325086e+00	6.701117e-01	6.549744e-01	-4.198527e-02	5.466230e-01	-5.886083e-01	5.676156e-01	7.568613e-03	-1.321267e-03	-3.047088e-02	-1.655671e-02	-1.391417e-02
4             	1.077526e+00	5.438730e-01	5.336529e-01	-2.885151e-02	4.448756e-01	-4.737271e-01	4.593013e-01	5.110069e-03	1.695998e-03	-2.290665e-02	-9.757326e-03	-1.314932e-02
5             	8.768970e-01	4.401854e-01	4.367116e-01	-1.880506e-02	3.610065e-01	-3.798115e-01	3.704090e-01	1.736899e-03	4.718739e-03	-1.431111e-02	-2.436817e-03	-1.187430e-02
6             	7.275316e-01	3.642130e-01	3.633186e-01	-5.055564e-03	3.021718e-01	-3.072274e-01	3.046996e-01	4.471868e-04	4.982265e-03	-1.136598e-02	-7.007252e-04	-1.066526e-02
7             	6.218878e-01	3.116198e-01	3.102681e-01	6.455776e-03	2.614367e-01	-2.549810e-01	2.582088e-01	6.758484e-04	3.172898e-03	-1.188510e-02	-2.769651e-03	-9.115448e-03
8             	5.523855e-01	2.783000e-01	2.740854e-01	1.294618e-02	2.339942e-01	-2.210480e-01	2.275211e-01	2.107286e-03	3.409891e-05	-1.536398e-02	-7.647891e-03	-7.716089e-03
9             	5.076610e-01	2.584456e-01	2.492153e-01	1.633242e-02	2.155296e-01	-1.991972e-01	2.073634e-01	4.615139e-03	-3.561676e-03	-2.105928e-02	-1.409132e-02	-6.967962e-03
10            	4.789776e-01	2.462811e-01	2.326965e-01	1.822080e-02	2.030870e-01	-1.848662e-01	1.939766e-01	6.792282e-03	-6.464374e-03	-2.558161e-02	-1.925518e-02	-6.326432e-03
