# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	8.766500e-02	8.402010e-03	7	5.924760e-01	4.692110e-02	7	3.972670e-01	3.642440e-02	5	false	GAMG	1.000000e+00	5.882620e-03	5	true
2             	smoothSolver	3.849080e-02	2.997810e-03	8	3.892920e-01	3.879330e-02	7	1.603540e-01	1.343250e-02	7	false	GAMG	7.621250e-02	3.304990e-04	5	true
3             	smoothSolver	2.001440e-02	1.763120e-03	8	3.005380e-01	2.365960e-02	8	1.089880e-01	9.869810e-03	7	false	GAMG	5.209580e-02	4.997300e-04	4	true
4             	smoothSolver	1.355780e-02	1.234600e-03	8	2.425270e-01	1.848970e-02	8	9.844540e-02	9.074310e-03	7	false	GAMG	4.568260e-02	3.957550e-04	4	true
5             	smoothSolver	1.052720e-02	9.235380e-04	8	2.090820e-01	2.064460e-02	7	1.014390e-01	9.477450e-03	7	false	GAMG	4.122550e-02	3.348820e-04	4	true
6             	smoothSolver	8.505970e-03	7.247110e-04	8	1.872490e-01	1.819370e-02	7	1.068630e-01	1.018860e-02	7	false	GAMG	3.692330e-02	2.764500e-04	4	true
7             	smoothSolver	7.140890e-03	5.999120e-04	8	1.687500e-01	1.608720e-02	7	1.168850e-01	1.114000e-02	7	false	GAMG	3.292030e-02	2.238310e-04	4	true
8             	smoothSolver	6.132780e-03	5.213590e-04	8	1.506810e-01	1.406400e-02	7	1.277690e-01	1.210420e-02	7	false	GAMG	3.008420e-02	1.804690e-04	4	true
9             	smoothSolver	5.371270e-03	4.650940e-04	8	1.349420e-01	1.236360e-02	7	1.344610e-01	1.267720e-02	7	false	GAMG	2.796840e-02	1.485020e-04	4	true
10            	smoothSolver	4.797020e-03	4.197040e-04	8	1.218610e-01	1.104340e-02	7	1.236640e-01	1.156950e-02	7	false	GAMG	2.627660e-02	1.274490e-04	4	true
11            	smoothSolver	4.369790e-03	3.798910e-04	8	1.099180e-01	9.980770e-03	7	1.118890e-01	1.040640e-02	7	false	GAMG	2.512170e-02	1.200240e-04	4	true
12            	smoothSolver	4.073080e-03	3.484320e-04	8	9.997090e-02	9.203510e-03	7	1.065640e-01	9.994930e-03	7	false	GAMG	2.420880e-02	1.199200e-04	4	true
13            	smoothSolver	3.861880e-03	3.252890e-04	8	9.096050e-02	8.537800e-03	7	1.030450e-01	9.750020e-03	7	false	GAMG	2.359780e-02	1.210070e-04	4	true
