# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                1.95106956e+02 -1.90037231e+00 -1.09670867e+00 1.99433453e+02 -4.69323549e-01 -8.76463277e-01 -4.32649662e+00 -1.43104876e+00 -2.20245391e-01
2                6.76659324e+02 -5.26812963e+00 1.69527447e+00 6.79619360e+02 -4.63828205e+00 1.92939648e+00 -2.96003690e+00 -6.29847576e-01 -2.34122006e-01
3                1.12385275e+03 -6.56592980e+00 2.90539019e+00 1.12667424e+03 -6.33013715e+00 3.10330282e+00 -2.82149724e+00 -2.35792652e-01 -1.97912625e-01
4                1.40810712e+03 -5.43739085e+00 1.43428431e+00 1.41101933e+03 -5.46118627e+00 1.59549749e+00 -2.91221717e+00 2.37954295e-02 -1.61213183e-01
5                1.50374424e+03 -2.88805850e+00 -2.04736962e+00 1.50674116e+03 -3.04100228e+00 -1.93870323e+00 -2.99692325e+00 1.52943777e-01 -1.08666390e-01
6                1.44362781e+03 -2.50226851e-01 -5.80837123e+00 1.44669207e+03 -4.71307797e-01 -5.72688351e+00 -3.06426598e+00 2.21080946e-01 -8.14877171e-02
7                1.29167859e+03 2.24698797e+00 -9.17133710e+00 1.29483579e+03 2.05254042e+00 -9.10426488e+00 -3.15720097e+00 1.94447553e-01 -6.70722188e-02
8                1.11396509e+03 4.12138851e+00 -1.15626588e+01 1.11718329e+03 4.02880140e+00 -1.14871432e+01 -3.21820054e+00 9.25871167e-02 -7.55155475e-02
9                9.61501083e+02 5.73298519e+00 -1.21297237e+01 9.64581747e+02 5.77362734e+00 -1.20512970e+01 -3.08066407e+00 -4.06421546e-02 -7.84266995e-02
10               8.62408585e+02 7.21338591e+00 -1.10170818e+01 8.65172992e+02 7.33910059e+00 -1.09433224e+01 -2.76440668e+00 -1.25714683e-01 -7.37593345e-02
11               8.19633594e+02 8.57703196e+00 -9.05394541e+00 8.22030116e+02 8.75027682e+00 -8.99055665e+00 -2.39652168e+00 -1.73244854e-01 -6.33887624e-02
12               8.19384736e+02 1.01454914e+01 -6.79876132e+00 8.21476318e+02 1.03441239e+01 -6.75074237e+00 -2.09158119e+00 -1.98632417e-01 -4.80189534e-02
13               8.42094447e+02 1.20852708e+01 -4.57734047e+00 8.43983945e+02 1.22885529e+01 -4.54389422e+00 -1.88949781e+00 -2.03282043e-01 -3.34462432e-02
14               8.70817687e+02 1.41483789e+01 -2.55340511e+00 8.72624575e+02 1.43361135e+01 -2.53401389e+00 -1.80688817e+00 -1.87734557e-01 -1.93912217e-02
15               8.93764970e+02 1.59251312e+01 -8.42884173e-01 8.95575239e+02 1.60929065e+01 -8.25845148e-01 -1.81026881e+00 -1.67775382e-01 -1.70390249e-02
16               9.05157111e+02 1.69666937e+01 8.59550919e-01 9.07033697e+02 1.71059469e+01 8.69596932e-01 -1.87658607e+00 -1.39253236e-01 -1.00460134e-02
17               9.04025902e+02 1.74051286e+01 2.47305708e+00 9.05995710e+02 1.75092412e+01 2.47968709e+00 -1.96980788e+00 -1.04112579e-01 -6.63000764e-03
18               8.92561280e+02 1.73876021e+01 4.07621342e+00 8.94616595e+02 1.74533227e+01 4.07899624e+00 -2.05531567e+00 -6.57206572e-02 -2.78282189e-03
19               8.74455819e+02 1.70071212e+01 5.62240332e+00 8.76584302e+02 1.70387234e+01 5.62199187e+00 -2.12848303e+00 -3.16021428e-02 4.11447780e-04
20               8.53206882e+02 1.65841467e+01 7.04403221e+00 8.55401111e+02 1.65807609e+01 7.04289165e+00 -2.19422906e+00 3.38574141e-03 1.14056123e-03
21               8.31704636e+02 1.62253082e+01 8.19225681e+00 8.33961605e+02 1.61954589e+01 8.19697134e+00 -2.25696855e+00 2.98493551e-02 -4.71452950e-03
22               8.11536514e+02 1.59225343e+01 8.88146008e+00 8.13853109e+02 1.58707049e+01 8.89013237e+00 -2.31659445e+00 5.18293958e-02 -8.67229432e-03
23               7.93087387e+02 1.56557794e+01 9.06747788e+00 7.95461422e+02 1.55789257e+01 9.08003901e+00 -2.37403473e+00 7.68537500e-02 -1.25611301e-02
