# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                -1.45607996e+01 2.44724232e-01 4.03085806e-02 -1.29697214e+01 1.88754333e-01 2.99974377e-02 -1.59107820e+00 5.59698989e-02 1.03111428e-02
2                -4.04518904e+01 3.45148794e-01 5.79352590e-01 -3.90718893e+01 3.17960028e-01 5.66607957e-01 -1.38000108e+00 2.71887659e-02 1.27446331e-02
3                -6.41804694e+01 6.30043403e-01 8.16690234e-01 -6.30497459e+01 6.15586786e-01 8.14266256e-01 -1.13072353e+00 1.44566170e-02 2.42397759e-03
4                -7.89250239e+01 1.02338285e+00 7.47915621e-01 -7.80124305e+01 1.01653120e+00 7.51191383e-01 -9.12593412e-01 6.85165061e-03 -3.27576183e-03
5                -8.31712434e+01 1.40650180e+00 4.37867337e-01 -8.24321678e+01 1.40479626e+00 4.42956914e-01 -7.39075574e-01 1.70554498e-03 -5.08957734e-03
6                -7.87473614e+01 1.67840080e+00 3.84826382e-02 -7.81432441e+01 1.67834994e+00 4.45364405e-02 -6.04117308e-01 5.08577797e-05 -6.05380229e-03
7                -6.93678481e+01 1.78022041e+00 -3.42750819e-01 -6.88692891e+01 1.78098630e+00 -3.35732844e-01 -4.98558988e-01 -7.65891993e-04 -7.01797515e-03
8                -5.88967842e+01 1.70545369e+00 -6.38969327e-01 -5.84738699e+01 1.70843344e+00 -6.30224669e-01 -4.22914374e-01 -2.97974948e-03 -8.74465806e-03
9                -5.02580556e+01 1.53631805e+00 -7.52256093e-01 -4.98708383e+01 1.53998705e+00 -7.42282770e-01 -3.87217341e-01 -3.66899900e-03 -9.97332280e-03
10               -4.49447027e+01 1.35705473e+00 -6.73423964e-01 -4.45606839e+01 1.36012191e+00 -6.65209069e-01 -3.84018767e-01 -3.06718087e-03 -8.21489505e-03
11               -4.29865707e+01 1.21410172e+00 -4.89497562e-01 -4.25892162e+01 1.21664345e+00 -4.83695192e-01 -3.97354555e-01 -2.54172690e-03 -5.80237005e-03
12               -4.34694441e+01 1.13798235e+00 -2.96654477e-01 -4.30546651e+01 1.13964407e+00 -2.92122779e-01 -4.14778977e-01 -1.66172474e-03 -4.53169821e-03
13               -4.51838576e+01 1.15090211e+00 -1.60020915e-01 -4.47538116e+01 1.15137406e+00 -1.55200558e-01 -4.30045975e-01 -4.71952036e-04 -4.82035613e-03
14               -4.71108432e+01 1.23149986e+00 -8.69939167e-02 -4.66705164e+01 1.23020750e+00 -8.15701805e-02 -4.40326852e-01 1.29236839e-03 -5.42373611e-03
15               -4.85727001e+01 1.33189577e+00 -4.93982707e-02 -4.81262834e+01 1.32843238e+00 -4.24141204e-02 -4.46416714e-01 3.46339136e-03 -6.98415039e-03
16               -4.92707059e+01 1.39292115e+00 9.76114686e-03 -4.88207961e+01 1.38745008e+00 1.83986707e-02 -4.49909790e-01 5.47107671e-03 -8.63752385e-03
17               -4.91965614e+01 1.41873180e+00 8.89367608e-02 -4.87442037e+01 1.41221085e+00 9.91253962e-02 -4.52357722e-01 6.52095108e-03 -1.01886354e-02
18               -4.85215888e+01 1.42313273e+00 1.99973005e-01 -4.80661210e+01 1.41561203e+00 2.11088926e-01 -4.55467772e-01 7.52070350e-03 -1.11159208e-02
19               -4.74895701e+01 1.42151930e+00 3.29058065e-01 -4.70297608e+01 1.41337659e+00 3.40667339e-01 -4.59809240e-01 8.14271890e-03 -1.16092740e-02
20               -4.63169593e+01 1.44673684e+00 4.56979436e-01 -4.58514560e+01 1.43832412e+00 4.69213706e-01 -4.65503359e-01 8.41271442e-03 -1.22342698e-02
21               -4.51651522e+01 1.51336480e+00 5.62957118e-01 -4.46932855e+01 1.50537196e+00 5.75175182e-01 -4.71866744e-01 7.99283178e-03 -1.22180637e-02
22               -4.41126628e+01 1.60817564e+00 6.35594076e-01 -4.36337550e+01 1.60056999e+00 6.47251667e-01 -4.78907855e-01 7.60564969e-03 -1.16575913e-02
23               -4.31630992e+01 1.71188031e+00 6.77957306e-01 -4.26762258e+01 1.70478912e+00 6.89084694e-01 -4.86873365e-01 7.09119351e-03 -1.11273883e-02
24               -4.22763498e+01 1.80378009e+00 6.87721399e-01 -4.17813300e+01 1.79730165e+00 6.98250783e-01 -4.95019808e-01 6.47843614e-03 -1.05293845e-02
25               -4.14049784e+01 1.87508229e+00 6.67565809e-01 -4.09015998e+01 1.86926673e+00 6.77617219e-01 -5.03378606e-01 5.81556046e-03 -1.00514093e-02
26               -4.05021473e+01 1.92568722e+00 6.23233195e-01 -3.99904526e+01 1.92065110e+00 6.32913224e-01 -5.11694681e-01 5.03611132e-03 -9.68002843e-03
27               -3.95549728e+01 1.95990815e+00 5.68441101e-01 -3.90353511e+01 1.95551619e+00 5.77620507e-01 -5.19621747e-01 4.39195998e-03 -9.17940597e-03
28               -3.85752397e+01 1.99085440e+00 5.11285663e-01 -3.80476739e+01 1.98716611e+00 5.20336271e-01 -5.27565768e-01 3.68829499e-03 -9.05060779e-03
29               -3.75827728e+01 2.03199102e+00 4.51101509e-01 -3.70471351e+01 2.02937013e+00 4.59968896e-01 -5.35637676e-01 2.62088654e-03 -8.86738614e-03
30               -3.66004506e+01 2.08508495e+00 3.93210364e-01 -3.60568673e+01 2.08376431e+00 4.01906393e-01 -5.43583239e-01 1.32063958e-03 -8.69602902e-03
31               -3.56497692e+01 2.14202793e+00 3.44826485e-01 -3.50986653e+01 2.14214197e+00 3.53332511e-01 -5.51103840e-01 -1.14037519e-04 -8.50602620e-03
32               -3.47400752e+01 2.19570063e+00 3.10187937e-01 -3.41818575e+01 2.19735707e+00 3.18328811e-01 -5.58217674e-01 -1.65643977e-03 -8.14087424e-03
33               -3.38888123e+01 2.23274554e+00 2.94524341e-01 -3.33239259e+01 2.23595063e+00 3.02415311e-01 -5.64886367e-01 -3.20509777e-03 -7.89096919e-03
34               -3.31072922e+01 2.24341007e+00 3.00955575e-01 -3.25363497e+01 2.24802467e+00 3.08357561e-01 -5.70942441e-01 -4.61459204e-03 -7.40198666e-03
35               -3.24006926e+01 2.23789836e+00 3.31016778e-01 -3.18243734e+01 2.24375374e+00 3.37707090e-01 -5.76319155e-01 -5.85537626e-03 -6.69031173e-03
36               -3.17748850e+01 2.21800756e+00 3.82561606e-01 -3.11937259e+01 2.22472102e+00 3.88337347e-01 -5.81159068e-01 -6.71345704e-03 -5.77574101e-03
37               -3.12338389e+01 2.18396831e+00 4.47160143e-01 -3.06482494e+01 2.19147673e+00 4.52170250e-01 -5.85589467e-01 -7.50842609e-03 -5.01010680e-03
38               -3.07748380e+01 2.12940566e+00 5.16759888e-01 -3.01851746e+01 2.13756345e+00 5.20916727e-01 -5.89663372e-01 -8.15779442e-03 -4.15683886e-03
39               -3.03870765e+01 2.05657645e+00 5.84220749e-01 -2.97937807e+01 2.06522679e+00 5.87324611e-01 -5.93295798e-01 -8.65034453e-03 -3.10386124e-03
40               -3.00586456e+01 1.96906637e+00 6.42072583e-01 -2.94620195e+01 1.97812534e+00 6.43957707e-01 -5.96626142e-01 -9.05896942e-03 -1.88512458e-03
